栄養素名,下限値,上限値
総カロリー_エネルギー_kcal,2200.0,2300.0
三大栄養素_タンパク質_g,60.0,110.0
ビタミン_ビタミンA_μg,690.0,2700.0
ビタミン_ビタミンD_μg,8.5,100.0
ビタミン_ビタミンE_mg,6.0,850.0
ビタミン_ビタミンK_μg,150.0,
ビタミン_ビタミンB1_mg,1.2,
ビタミン_ビタミンB2_mg,1.3,
ビタミン_ナイアシン_mg,13.0,80.0
ビタミン_ビタミンB6_mg,1.2,55.0
ビタミン_ビタミンB12_μg,2.4,
ビタミン_葉酸_μg,240.0,900.0
ビタミン_パントテン酸_mg,5.0,
ビタミン_ビオチン_μg,50.0,
ビタミン_ビタミンC_mg,100.0,
ミネラル_カリウム_mg,2500.0,
ミネラル_カルシウム_mg,702.0,2500.0
ミネラル_マグネシウム_mg,287.0,
ミネラル_リン_mg,1000.0,3000.0
ミネラル_鉄_mg,6.4,50.0
ミネラル_亜鉛_mg,10.0,40.0
ミネラル_銅_mg,0.7,7.0
ミネラル_マンガン_mg,3.5,11.0
ミネラル_ヨウ素_μg,130.0,3000.0
ミネラル_セレン_μg,26.0,450.0
ミネラル_クロム_μg,10.0,500.0
ミネラル_モリブデン_μg,30.0,600.0
その他_食塩相当量_g,2.0,7.5
その他_食物繊維 総量_g,17.6,
脂肪酸_n-3系 多価不飽和_g,2.5,
脂肪酸_n-6系 多価不飽和_g,5.0,
脂肪酸_脂肪酸 飽和_g,,17.1
